State;Electric (EV);Plug-In Hybrid Electric (PHEV);Hybrid Electric (HEV);Biodiesel;Ethanol/Flex (E85);Compressed Natural Gas (CNG);Propane;Hydrogen;Methanol;Gasoline;Diesel;Unknown Fuel
Alabama;13;5,8;63,3;54,2;441,2;100;100;0;0;4,102,200;127;29
Alaska;2,7;900;10,6;9,6;46,8;0;0;0;0;454,3;29,8;5,1
Arizona;89,8;25,6;175,7;68,6;437,1;600;700;0;0;5,469,000;197,7;64,2
Arkansas;7,1;3,2;37;37;276,7;200;0;0;0;2,246,100;90,7;10,3
California;1,256,600;410,7;1,703,200;201,6;1,314,600;10,1;1,5;16,9;0;31,191,900;735,3;7,9
Colorado;90,1;37,5;152,7;68,1;334,3;300;100;0;0;4,508,800;203,4;46,5
Connecticut;31,6;18,4;75,3;10,9;133,6;100;0;0;0;2,612,600;42,3;20,9
Delaware;8,4;3,8;22,9;5,1;63,9;0;0;0;0;791,3;14,2;5,1
District of Columbia;8,1;3,7;18,1;400;16,8;100;0;0;0;262,5;1,8;600
Florida;254,9;57,3;414,5;170,5;1,101,100;400;100;0;0;16,136,500;351,8;96,1
Georgia;92,4;22,7;175,3;92,5;719,4;300;200;0;0;8,256,400;206,3;76,9
Hawaii;25,6;7,3;36,4;3,4;37,3;0;0;0;0;951;15,4;3,7
Idaho;8,5;4,6;43,7;45,9;132,9;100;100;0;0;1,568,600;138,6;31,6
Illinois;99,6;33,4;285,4;61,5;772,9;300;0;0;0;8,560,300;170,2;59,6
Indiana;26,1;12,9;119,1;56,3;576,3;300;0;0;0;5,166,200;156,4;58,5
Iowa;9;6,1;57,2;41,7;331,3;100;0;0;0;2,545,400;105;57,5
Kansas;11,3;5,6;50,4;27,9;253,5;200;100;0;0;2,168,600;87,4;16,1
Kentucky;11,6;5,6;67,1;36,9;361,2;300;0;0;0;3,415,000;117,6;24,4
Louisiana;8,2;4;40,2;64,2;380,1;100;0;0;0;3,142,800;115,5;19,1
Maine;7,4;7,6;33,6;12;104,5;0;0;0;0;1,036,100;26,9;7,9
Maryland;72,1;31,3;168,7;32,1;309,3;300;0;0;0;4,327,800;86,9;31,5
Massachusetts;73,8;43,8;187,3;21,3;285;200;0;0;0;4,791,300;58,4;30
Michigan;50,3;29,1;148,1;70,4;873,7;300;0;0;0;7,129,600;174,5;49,4
Minnesota;37,1;16,1;124,5;52,7;516,4;100;0;0;0;4,219,200;127,9;24,5
Mississippi;3,6;2;28,2;34,9;295,2;100;0;0;0;2,275,600;75,2;8,5
Missouri;26,9;13,9;113,9;70,4;575,5;900;100;0;0;4,608,600;178,2;37,6
Montana;4,6;2,5;21,1;37,9;94,5;0;0;0;0;780,7;69,6;10,8
Nebraska;6,9;3,8;32,6;28,9;197,1;100;0;0;0;1,600,400;76,1;25,3
Nevada;47,4;10,6;69,6;27,2;125,6;200;100;0;0;2,169,300;85,8;20,3
New Hampshire;9,9;6,6;36,8;13,9;89,6;100;0;0;0;1,185,300;29,2;12,3
New Jersey;134,8;40,9;174,2;27,8;392,1;300;0;0;0;6,433,000;84,6;36,4
New Mexico;10,3;4,9;44,3;32,1;151,6;100;100;0;0;1,597,600;88,5;22,9
New York;131,3;92,3;314;54,3;591,1;400;100;0;0;9,905,500;150,5;79,1
North Carolina;70,2;23,7;210,6;80,2;655;300;100;0;0;7,764,000;209,7;71,7
North Dakota;1;800;8,2;20,4;89,9;0;0;0;0;625,3;44,6;7,2
Ohio;50,4;24;199,8;70,3;833,5;700;100;0;0;8,881,400;196,2;60,9
Oklahoma;22,8;33;56,4;63,1;352,4;1,8;200;0;0;3,567,500;145,7;45
Oregon;64,4;28,8;156,9;55,5;184,6;100;100;0;0;3,074,300;217;51
Pennsylvania;70,2;38,9;245,4;73,9;661,7;500;100;0;0;8,886,400;192,1;41,8
Rhode Island;6,4;5,1;22,1;3,1;41,9;0;0;0;0;782;11;6
South Carolina;20,9;9;83,1;44,6;404,6;100;100;0;0;4,325,000;110,1;44,9
South Dakota;1,7;1,3;11,9;21,5;98,8;0;0;0;0;718,3;51,2;13,3
Tennessee;33,2;11;113,3;53,1;509;200;100;0;0;5,620,500;160,7;37,7
Texas;230,1;55,3;445,1;460,7;2,315,400;1,3;1,3;0;0;21,392,800;772,8;121,8
Utah;40;13;83,2;68,5;185,2;2,2;500;0;0;2,499,600;158;26
Vermont;7,8;5,7;20,3;7;36,6;0;0;0;0;496;14,7;5
Virginia;84,9;26,8;229,4;44,3;484,8;300;0;0;0;6,670,000;152,8;30,2
Washington;152,1;41,2;307,2;73,8;337,7;100;100;0;0;5,583,000;274,2;46,7
West Virginia;2,8;1,8;22,4;17,3;123,4;100;0;0;0;1,281,500;46,4;15,2
Wisconsin;24,9;12,5;123,6;52,9;536,2;300;0;0;0;4,604,700;147,5;26,4
Wyoming;1,1;800;8,4;21,2;57,7;0;0;0;0;489,1;60,9;13,7
